                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.912,                 3.7288,                 3.9395,                0.79763,                0.09142,                 0.1007,                0.04518,                 1.8548,                 2.3046,                 3.2992,              0.0033267,              0.0033267,              0.0033267
                      2,                 1.8524,                 2.5309,                 2.7111,                0.56233,                0.17442,                0.15599,                 0.0957,                 1.3387,                 1.7805,                 2.3907,              0.0065941,              0.0065941,              0.0065941
                      3,                 1.3988,                 1.9656,                 2.1087,                0.67185,                0.24926,                0.18636,                0.12989,                 1.0295,                 1.6364,                 1.8095,              0.0097955,              0.0097955,              0.0097955
                      4,                 1.1789,                 1.6378,                 1.8435,                0.45831,                0.39175,                0.21134,                0.15776,                0.87902,                 1.2825,                 1.6475,               0.009703,               0.009703,               0.009703
                      5,                 1.0781,                 1.4491,                 1.7219,                0.46955,                 0.3952,                0.23849,                0.17606,                0.83995,                 1.1868,                 1.5812,               0.009604,               0.009604,               0.009604
                      6,                 1.0264,                 1.3774,                 1.6522,                0.57889,                0.38346,                0.24516,                0.17581,                0.89224,                 1.2061,                 1.6093,               0.009505,               0.009505,               0.009505
                      7,                0.98808,                 1.2938,                  1.612,                0.44507,                0.39762,                0.26045,                0.19814,                0.76871,                 1.1179,                 1.4804,               0.009406,               0.009406,               0.009406
                      8,                0.95517,                 1.2758,                 1.5784,                0.38305,                0.42091,                0.25476,                0.19258,                0.74919,                 1.1526,                 1.4807,               0.009307,               0.009307,               0.009307
                      9,                0.93098,                 1.2587,                 1.5555,                0.47452,                0.48476,                0.27741,                0.20907,                0.72683,                 1.1018,                 1.4303,               0.009208,               0.009208,               0.009208
                     10,                0.91811,                 1.2376,                 1.5448,                0.49046,                0.46955,                0.27726,                0.20658,                0.74163,                 1.0492,                 1.4422,               0.009109,               0.009109,               0.009109
                     11,                0.91093,                 1.2065,                 1.5264,                0.49955,                0.46335,                 0.2865,                0.21182,                0.73507,                 1.0375,                 1.4351,                0.00901,                0.00901,                0.00901
                     12,                0.89405,                 1.1944,                 1.5177,                0.51123,                0.45284,                0.28528,                0.21509,                0.73023,                 1.0098,                 1.4464,               0.008911,               0.008911,               0.008911
                     13,                 0.8745,                 1.1708,                 1.4986,                0.38283,                0.49647,                0.30511,                0.22821,                0.73096,                 1.0074,                 1.4418,               0.008812,               0.008812,               0.008812
                     14,                0.87931,                 1.1626,                  1.488,                0.42156,                0.54938,                0.32315,                0.23562,                 0.6878,                0.97882,                 1.3913,               0.008713,               0.008713,               0.008713
                     15,                0.86615,                 1.1502,                 1.4845,                0.40527,                0.47056,                0.32675,                0.23959,                0.71724,                0.99205,                 1.4276,               0.008614,               0.008614,               0.008614
                     16,                0.86332,                 1.1538,                 1.4845,                0.27668,                0.51527,                0.33698,                0.24808,                0.69484,                0.97104,                 1.3812,               0.008515,               0.008515,               0.008515
                     17,                0.85492,                 1.1138,                  1.469,                0.42495,                0.51106,                0.35404,                0.26283,                0.68081,                 0.9577,                 1.4102,               0.008416,               0.008416,               0.008416
                     18,                0.85265,                 1.1196,                 1.4657,                0.45534,                0.47922,                0.35737,                 0.2632,                0.69245,                0.96464,                 1.3975,               0.008317,               0.008317,               0.008317
                     19,                0.83631,                 1.0893,                 1.4519,                0.44504,                0.47293,                0.34391,                0.25614,                0.67779,                0.97406,                 1.3635,               0.008218,               0.008218,               0.008218
                     20,                0.83467,                 1.0917,                 1.4476,                0.37216,                0.54365,                0.39071,                0.28579,                0.67256,                0.92212,                 1.3729,               0.008119,               0.008119,               0.008119
                     21,                 0.8319,                 1.0885,                 1.4449,                0.49837,                0.52088,                0.40439,                0.30291,                0.66153,                 0.8939,                 1.3704,                0.00802,                0.00802,                0.00802
                     22,                0.82028,                 1.0658,                 1.4312,                0.47991,                0.47931,                0.41964,                0.30952,                0.66296,                0.88823,                 1.3669,               0.007921,               0.007921,               0.007921
                     23,                0.82893,                 1.0789,                 1.4395,                0.35649,                0.61983,                 0.4294,                0.32172,                0.65261,                0.86581,                 1.3635,               0.007822,               0.007822,               0.007822
                     24,                0.81416,                 1.0538,                 1.4187,                0.34195,                0.59406,                0.45492,                0.34038,                0.64472,                0.86561,                 1.3453,               0.007723,               0.007723,               0.007723
                     25,                0.81091,                 1.0445,                 1.4216,                0.35977,                0.55927,                0.46663,                 0.3463,                0.63444,                0.85603,                 1.3215,               0.007624,               0.007624,               0.007624
                     26,                0.80266,                 1.0397,                 1.4139,                 0.3532,                0.59972,                0.46555,                0.34882,                0.64007,                0.85514,                 1.3399,               0.007525,               0.007525,               0.007525
