                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6388,                 3.6181,                 3.6613,                0.21003,                0.23101,                0.22055,                 0.1229,                 1.4471,                 1.9048,                 2.6019,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.6442,                 2.5498,                 2.4515,                0.21182,                0.30143,                  0.164,                 0.0939,                 1.4161,                 2.6008,                 2.3187,              0.0065967,              0.0065967,              0.0065967
                      3,                  1.396,                 2.1464,                 2.0994,                0.30208,                0.45842,                 0.3296,                0.22584,                0.95237,                 1.3293,                 1.7426,              0.0097981,              0.0097981,              0.0097981
                      4,                 1.2885,                  1.891,                 1.9619,                0.31594,                0.48568,                0.33549,                0.23656,                0.89519,                 1.2073,                 1.6652,               0.009703,               0.009703,               0.009703
                      5,                 1.2139,                 1.7369,                 1.8728,                0.31802,                  0.512,                0.38846,                0.28868,                0.83435,                 1.1229,                 1.5913,               0.009604,               0.009604,               0.009604
                      6,                 1.1633,                 1.6239,                 1.8112,                0.37759,                0.54469,                0.42311,                0.31026,                0.76825,                 1.0513,                 1.5003,               0.009505,               0.009505,               0.009505
                      7,                 1.1373,                 1.5655,                 1.7784,                0.42819,                0.50611,                0.45721,                0.33008,                0.75146,                 1.0186,                 1.4653,               0.009406,               0.009406,               0.009406
                      8,                 1.1132,                 1.5188,                 1.7521,                0.38053,                0.59758,                0.44793,                0.32326,                0.73669,                 1.0998,                 1.4459,               0.009307,               0.009307,               0.009307
                      9,                 1.0962,                 1.4592,                 1.7257,                0.38049,                 0.6016,                0.47084,                0.34336,                0.72469,                 0.9489,                 1.4591,               0.009208,               0.009208,               0.009208
                     10,                 1.0786,                 1.4373,                 1.7107,                0.41677,                0.60093,                0.52129,                0.37953,                0.69661,                0.91828,                 1.4226,               0.009109,               0.009109,               0.009109
                     11,                 1.0801,                 1.4254,                 1.7119,                0.45837,                0.64732,                0.51298,                0.36801,                 0.6918,                0.90743,                 1.4251,                0.00901,                0.00901,                0.00901
                     12,                 1.0596,                 1.3879,                  1.692,                0.48111,                0.50462,                0.51795,                0.36969,                0.72476,                0.92399,                 1.4378,               0.008911,               0.008911,               0.008911
                     13,                 1.0558,                 1.3771,                 1.6826,                0.42851,                0.62699,                0.52856,                0.38224,                0.69698,                0.87886,                 1.4113,               0.008812,               0.008812,               0.008812
