                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8305,                 3.6856,                 3.8593,                0.79498,                0.10059,                0.09491,                0.04105,                  1.847,                 2.4373,                 3.1488,              0.0033267,              0.0033267,              0.0033267
                      2,                 1.7986,                 2.4582,                 2.5969,                0.71082,                 0.1899,                0.17112,                0.10833,                 1.1914,                 1.7716,                 2.0884,              0.0065941,              0.0065941,              0.0065941
                      3,                  1.374,                 1.9102,                 2.0298,                0.57113,                0.23739,                0.18087,                 0.1215,                 1.0622,                 1.5172,                 1.8088,              0.0097955,              0.0097955,              0.0097955
                      4,                 1.1683,                 1.6108,                 1.7877,                0.73212,                0.27645,                0.22581,                0.16302,                0.93913,                  1.288,                 1.6463,               0.009703,               0.009703,               0.009703
                      5,                 1.0786,                 1.4391,                 1.6809,                0.47938,                0.39636,                0.23961,                0.17508,                0.82674,                 1.2239,                 1.4989,               0.009604,               0.009604,               0.009604
                      6,                 1.0231,                 1.3727,                 1.6162,                0.58393,                0.40855,                0.24724,                0.18567,                0.80599,                 1.1394,                 1.4434,               0.009505,               0.009505,               0.009505
                      7,                0.97871,                 1.2897,                 1.5776,                0.47038,                0.40834,                0.25428,                0.19338,                0.77599,                 1.1383,                 1.4598,               0.009406,               0.009406,               0.009406
                      8,                0.95745,                 1.2719,                 1.5492,                0.34156,                0.41708,                0.25759,                0.19626,                0.73753,                 1.0876,                 1.4178,               0.009307,               0.009307,               0.009307
                      9,                0.93772,                 1.2559,                   1.53,                 0.3495,                 0.4534,                 0.2792,                0.20696,                0.73452,                 1.0702,                 1.3967,               0.009208,               0.009208,               0.009208
                     10,                0.92132,                 1.2314,                  1.517,                0.34361,                0.47301,                0.28011,                0.20681,                0.78696,                 1.0701,                 1.4426,               0.009109,               0.009109,               0.009109
                     11,                0.91222,                 1.2051,                  1.497,                0.37885,                0.47779,                0.27723,                 0.2033,                0.78983,                 1.0613,                 1.4192,                0.00901,                0.00901,                0.00901
                     12,                0.89672,                 1.1916,                 1.4911,                0.40616,                0.41969,                0.29674,                0.22349,                0.70582,                 1.0225,                 1.3746,               0.008911,               0.008911,               0.008911
