                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6175,                 3.5903,                  3.616,                0.31675,                0.23229,                0.17253,                0.08806,                 1.4912,                 2.0879,                 2.6714,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.6307,                 2.5007,                 2.3625,                0.31875,                0.39685,                0.30459,                0.20532,                 1.0592,                 1.6629,                 1.8062,              0.0065967,              0.0065967,              0.0065967
                      3,                 1.4006,                 2.1035,                 2.0436,                0.39065,                0.43855,                0.29245,                0.20132,                 1.0231,                 1.6223,                 1.7265,              0.0097981,              0.0097981,              0.0097981
                      4,                   1.29,                 1.8642,                 1.9038,                0.33999,                0.46403,                0.36933,                0.25562,                0.87875,                 1.1569,                 1.5798,               0.009703,               0.009703,               0.009703
                      5,                 1.2148,                 1.7238,                  1.823,                0.31612,                0.45723,                0.37826,                0.28372,                0.84367,                 1.1743,                 1.4967,               0.009604,               0.009604,               0.009604
                      6,                 1.1677,                 1.6157,                 1.7699,                0.33651,                0.54751,                0.39975,                0.28876,                0.77761,                 1.1003,                 1.4363,               0.009505,               0.009505,               0.009505
                      7,                 1.1325,                  1.558,                 1.7399,                 0.4498,                0.53284,                0.47759,                0.34476,                0.72248,                0.99541,                  1.367,               0.009406,               0.009406,               0.009406
                      8,                  1.112,                 1.5102,                 1.7194,                0.55487,                0.46301,                0.51389,                0.36557,                0.71029,                0.98936,                 1.3529,               0.009307,               0.009307,               0.009307
                      9,                 1.0917,                 1.4541,                 1.6907,                0.39345,                0.56744,                0.50226,                 0.3565,                0.73392,                0.95258,                 1.3931,               0.009208,               0.009208,               0.009208
                     10,                 1.0775,                  1.423,                 1.6725,                 0.4874,                0.61282,                 0.5505,                0.39735,                 0.7167,                0.89194,                 1.3656,               0.009109,               0.009109,               0.009109
                     11,                 1.0747,                 1.4146,                 1.6759,                0.46259,                0.60553,                0.54636,                0.39121,                0.70878,                0.97885,                 1.3756,                0.00901,                0.00901,                0.00901
                     12,                 1.0557,                 1.3755,                 1.6548,                0.51192,                0.59028,                0.53404,                0.39449,                0.68378,                0.89746,                 1.3373,               0.008911,               0.008911,               0.008911
                     13,                 1.0508,                 1.3575,                 1.6448,                0.48077,                0.62229,                0.59129,                0.42445,                0.67432,                0.83362,                 1.3327,               0.008812,               0.008812,               0.008812
                     14,                 1.0471,                 1.3388,                 1.6428,                 0.6635,                0.51063,                0.59485,                0.43037,                0.66496,                0.89492,                 1.3191,               0.008713,               0.008713,               0.008713
                     15,                 1.0328,                 1.3122,                 1.6246,                0.47005,                 0.6419,                0.59596,                0.43194,                0.67319,                0.83427,                 1.3435,               0.008614,               0.008614,               0.008614
                     16,                 1.0285,                 1.2895,                 1.6181,                0.54823,                0.62054,                0.58873,                 0.4377,                 0.6575,                 0.8488,                 1.3111,               0.008515,               0.008515,               0.008515
                     17,                 1.0153,                 1.2632,                 1.6044,                0.52821,                0.64565,                0.60886,                0.44572,                0.64978,                0.81046,                  1.317,               0.008416,               0.008416,               0.008416
                     18,                 1.0127,                 1.2597,                 1.6034,                0.55686,                0.61617,                0.62504,                0.46533,                0.66277,                0.80241,                 1.3215,               0.008317,               0.008317,               0.008317
                     19,                 1.0055,                  1.245,                 1.5915,                0.62552,                0.65509,                0.65033,                0.47632,                0.63985,                0.77231,                 1.3002,               0.008218,               0.008218,               0.008218
                     20,                 1.0006,                 1.2289,                 1.5921,                0.57419,                0.66128,                0.63783,                0.48012,                0.63669,                0.79047,                 1.2919,               0.008119,               0.008119,               0.008119
                     21,                0.99642,                 1.2182,                  1.586,                 0.5778,                0.63117,                0.64589,                0.47759,                 0.6235,                 0.7607,                 1.2804,                0.00802,                0.00802,                0.00802
                     22,                0.99549,                 1.2108,                 1.5813,                0.61147,                0.66693,                0.68699,                 0.5076,                0.62804,                0.73651,                 1.2936,               0.007921,               0.007921,               0.007921
