                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0606,                 2.3751,                  2.542,                0.39202,                0.25719,                0.15995,                0.08119,                 1.6779,                 2.1184,                 2.1348,               0.067036,              0.0003024,              0.0003024
                      2,                 1.3338,                 1.6252,                 1.7765,                0.31801,                0.35918,                0.24537,                0.15756,                 1.1338,                 1.3239,                 1.6028,               0.033999,              0.0005994,              0.0005994
                      3,                 1.1704,                 1.4549,                  1.615,                 0.4637,                0.36371,                0.23129,                0.15672,                  1.108,                 1.2949,                 1.6109,             0.00095694,             0.00089041,             0.00089041
                      4,                 1.0711,                 1.3675,                 1.5328,                0.41139,                0.36539,                0.23629,                0.14642,                 1.3233,                 1.2937,                  1.836,               0.000882,               0.000882,               0.000882
                      5,                 1.0307,                 1.3044,                 1.4944,                 0.2998,                0.44634,                0.27653,                0.18541,                 1.0192,                 1.2061,                 1.4909,               0.000873,               0.000873,               0.000873
                      6,                0.99365,                  1.283,                 1.4667,                0.41079,                0.51846,                0.29795,                0.21403,                0.80381,                 1.1161,                 1.3087,               0.000864,               0.000864,               0.000864
                      7,                  0.955,                 1.2101,                 1.4324,                0.25497,                0.46658,                0.29953,                0.21826,                0.82992,                 1.0525,                 1.3246,             0.00085501,             0.00085501,             0.00085501
                      8,                0.93298,                 1.2004,                  1.414,                0.35656,                0.38865,                0.24251,                0.17614,                 1.0816,                 1.2967,                 1.6176,             0.00084601,             0.00084601,             0.00084601
                      9,                0.91908,                  1.193,                 1.4033,                0.27619,                0.49259,                 0.3543,                0.25701,                0.77879,                 1.0569,                 1.2688,             0.00083701,             0.00083701,             0.00083701
                     10,                0.90628,                 1.1694,                 1.3902,                0.34049,                0.58921,                 0.3967,                0.28658,                0.76247,                0.94859,                 1.2586,             0.00082801,             0.00082801,             0.00082801
                     11,                 0.8959,                 1.1489,                 1.3829,                0.55451,                0.43131,                0.34799,                0.26108,                0.78118,                 1.0279,                 1.2763,             0.00081901,             0.00081901,             0.00081901
                     12,                0.88218,                 1.1304,                 1.3734,                 0.6978,                0.38391,                0.32957,                0.23411,                0.96878,                 1.1855,                 1.4949,             0.00081001,             0.00081001,             0.00081001
                     13,                0.86366,                 1.1139,                 1.3631,                0.28161,                0.53019,                0.41273,                0.31126,                 0.6963,                0.93093,                 1.2096,             0.00080101,             0.00080101,             0.00080101
                     14,                0.86973,                 1.1059,                  1.361,                0.33135,                0.61346,                0.43686,                0.32462,                0.68835,                0.89027,                 1.2013,             0.00079201,             0.00079201,             0.00079201
                     15,                 0.8566,                 1.0984,                 1.3528,                0.39149,                0.57782,                 0.4405,                0.32169,                0.68609,                 0.8809,                 1.1994,             0.00078301,             0.00078301,             0.00078301
                     16,                0.84403,                 1.0938,                 1.3437,                0.38338,                0.51538,                0.39211,                0.28923,                0.75207,                0.95943,                 1.2598,             0.00077401,             0.00077401,             0.00077401
                     17,                0.83892,                 1.0666,                 1.3382,                0.35841,                0.58489,                0.43841,                 0.3251,                 0.7125,                0.88505,                 1.2133,             0.00076501,             0.00076501,             0.00076501
                     18,                0.84301,                 1.0701,                 1.3375,                0.34052,                0.51635,                0.42395,                0.32502,                0.68608,                 0.8668,                 1.1985,             0.00075602,             0.00075602,             0.00075602
                     19,                0.82381,                 1.0436,                 1.3238,                0.31286,                0.51443,                0.39333,                0.28622,                0.69332,                0.92032,                 1.2051,             0.00074702,             0.00074702,             0.00074702
                     20,                0.82095,                  1.046,                 1.3264,                0.39196,                0.60657,                0.46074,                0.34807,                0.68223,                0.85082,                 1.1924,             0.00073802,             0.00073802,             0.00073802
                     21,                0.81343,                 1.0365,                 1.3125,                0.37298,                 0.5397,                0.44603,                0.33071,                0.69768,                0.88514,                 1.2014,             0.00072902,             0.00072902,             0.00072902
                     22,                0.80989,                 1.0251,                 1.3073,                0.42847,                0.52961,                0.49068,                 0.3665,                0.66268,                0.81681,                 1.1768,             0.00072002,             0.00072002,             0.00072002
                     23,                0.81883,                 1.0311,                 1.3164,                0.51288,                0.54308,                0.49945,                0.37512,                0.64207,                0.82144,                 1.1548,             0.00071102,             0.00071102,             0.00071102
                     24,                0.79739,                 1.0128,                 1.2973,                0.41609,                0.60155,                0.50704,                0.37226,                0.65008,                0.81039,                 1.1744,             0.00070202,             0.00070202,             0.00070202
                     25,                0.80557,                0.99963,                 1.3013,                0.38039,                0.59082,                0.51374,                0.37217,                0.65573,                 0.8072,                 1.1657,             0.00069302,             0.00069302,             0.00069302
                     26,                0.79096,                0.99993,                 1.2954,                0.40676,                0.62115,                0.49662,                0.37354,                0.63173,                0.79356,                 1.1469,             0.00068402,             0.00068402,             0.00068402
                     27,                0.77909,                0.98248,                 1.2874,                0.48403,                0.57888,                0.54541,                0.40563,                 0.6304,                0.78281,                 1.1468,             0.00067502,             0.00067502,             0.00067502
                     28,                0.78994,                0.99072,                 1.2955,                0.41484,                0.62097,                0.52657,                0.38771,                0.63776,                0.79188,                 1.1535,             0.00066602,             0.00066602,             0.00066602
                     29,                0.78009,                0.97121,                 1.2887,                 0.4003,                0.57754,                0.51176,                 0.3867,                  0.623,                0.78151,                 1.1436,             0.00065703,             0.00065703,             0.00065703
                     30,                0.78834,                0.97306,                 1.2901,                0.36335,                0.58214,                0.48534,                0.35855,                0.67454,                0.84988,                 1.1946,             0.00064803,             0.00064803,             0.00064803
                     31,                0.77627,                 0.9693,                 1.2815,                0.42753,                0.62976,                0.51687,                0.38698,                 0.6125,                0.76895,                 1.1237,             0.00063903,             0.00063903,             0.00063903
                     32,                0.77304,                0.95398,                 1.2831,                0.48614,                0.56291,                0.51693,                 0.3965,                0.63175,                0.75372,                 1.1451,             0.00063003,             0.00063003,             0.00063003
                     33,                 0.7755,                0.95581,                 1.2843,                0.39944,                 0.5475,                0.50352,                0.37737,                0.65515,                0.77818,                  1.163,             0.00062103,             0.00062103,             0.00062103
                     34,                0.76206,                 0.9523,                 1.2732,                0.45569,                0.67039,                0.56132,                0.42331,                 0.6198,                0.73133,                 1.1352,             0.00061203,             0.00061203,             0.00061203
                     35,                0.76602,                0.93836,                 1.2739,                0.47262,                0.63678,                0.54356,                 0.4134,                0.61256,                0.74176,                 1.1278,             0.00060303,             0.00060303,             0.00060303
                     36,                0.75845,                0.93783,                 1.2669,                0.49258,                0.56505,                0.54759,                0.41427,                0.60555,                0.73242,                 1.1229,             0.00059403,             0.00059403,             0.00059403
                     37,                0.75294,                0.93321,                 1.2617,                 0.5286,                0.58617,                0.57061,                0.42986,                0.60902,                0.71935,                 1.1297,             0.00058503,             0.00058503,             0.00058503
                     38,                 0.7542,                0.92671,                 1.2638,                0.50034,                0.61711,                0.56245,                 0.4347,                0.61105,                0.70634,                  1.119,             0.00057603,             0.00057603,             0.00057603
                     39,                0.75141,                0.91902,                 1.2613,                0.53204,                0.64471,                0.58761,                0.44495,                0.59868,                0.70211,                 1.1125,             0.00056703,             0.00056703,             0.00056703
                     40,                0.75218,                0.91601,                 1.2604,                0.66013,                 0.5407,                 0.5677,                0.42929,                0.62739,                 0.7226,                 1.1413,             0.00055804,             0.00055804,             0.00055804
                     41,                0.74545,                0.91019,                 1.2582,                0.49449,                0.62836,                 0.5836,                0.44411,                0.59104,                0.69835,                 1.1082,             0.00054904,             0.00054904,             0.00054904
                     42,                  0.743,                0.90553,                 1.2526,                0.50036,                0.66732,                0.60859,                 0.4479,                0.59463,                0.69232,                 1.1074,             0.00054004,             0.00054004,             0.00054004
                     43,                0.74015,                0.90763,                 1.2515,                0.59123,                0.62757,                 0.6167,                0.46185,                0.58573,                0.67681,                 1.1032,             0.00053104,             0.00053104,             0.00053104
                     44,                0.73752,                0.89644,                 1.2506,                0.47447,                0.68846,                 0.6021,                0.45992,                0.58673,                0.68354,                 1.1017,             0.00052204,             0.00052204,             0.00052204
                     45,                0.73313,                0.88914,                 1.2467,                0.56758,                0.64954,                0.63735,                0.47754,                 0.5874,                0.67411,                 1.1032,             0.00051304,             0.00051304,             0.00051304
                     46,                0.74227,                0.89914,                 1.2553,                0.65833,                0.63362,                0.65076,                0.49193,                0.58297,                0.65865,                 1.0991,             0.00050404,             0.00050404,             0.00050404
                     47,                0.73033,                0.88106,                 1.2459,                0.54968,                0.65005,                0.62974,                0.47447,                0.58251,                0.66575,                  1.096,             0.00049504,             0.00049504,             0.00049504
